location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,Puissance Fiscale
Tunis,4 hours ago,116000.0,Gris,28500.0,Avec kilométrage,1.4,2013.0,Manuelle,Citroen,C3,Compacte,Essence,5.0
Ben Arous,4 hours ago,48000.0,Noir,95000.0,Avec kilométrage,1.6,2020.0,Manuelle,Volkswagen,T-ROC,Autres,Diesel,6.0
Ben Arous,4 hours ago,275000.0,Gris,26500.0,Avec kilométrage,2.0,2002.0,Manuelle,Toyota,Previa,Monospace,Diesel,8.0
Sfax,5 hours ago,42000.0,Orange,41500.0,Nouveau,1.0,2022.0,Manuelle,Kia,Picanto,Berline,Essence,4.0
Ben Arous,5 hours ago,106000.0,Gris,32500.0,Avec kilométrage,1.2,2017.0,Manuelle,Citroen,C3,Compacte,Essence,4.0
Sousse,5 hours ago,84000.0,Noir,120000.0,Avec kilométrage,1.6,2019.0,Automatique,Citroen,DS23,4 x 4,Essence,9.0
Sfax,5 hours ago,56000.0,Autre,48000.0,Avec kilométrage,1.2,2021.0,Automatique,Hyundai,Grand i10,Compacte,Essence,5.0
Ben Arous,5 hours ago,1111.0,Noir,26600.0,Avec kilométrage,1.2,2011.0,Manuelle,Ford,Ka,Berline,Essence,4.0
Ben Arous,6 hours ago,63000.0,Rouge,33500.0,Avec kilométrage,1.2,2020.0,Manuelle,Mahindra,Hover,Autres,Essence,5.0
Tunis,6 hours ago,285000.0,Noir,49500.0,Avec kilométrage,2.2,2006.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10.0
Sfax,6 hours ago,41000.0,Noir,69000.0,Avec kilométrage,1.6,2023.0,Automatique,Chery,Tiggo,4 x 4,Essence,11.0
Tunis,6 hours ago,1111.0,Noir,26600.0,Avec kilométrage,1.2,2011.0,Manuelle,Ford,Ka,Berline,Essence,4.0
Nabeul,6 hours ago,189000.0,Rouge,23500.0,Avec kilométrage,1.9,2011.0,Manuelle,Peugeot,Partner,Utilitaire,Diesel,7.0
La Manouba,6 hours ago,280000.0,Bleu,67500.0,Avec kilométrage,3.0,2008.0,Automatique,BMW,X5,4 x 4,Diesel,15.0
La Manouba,6 hours ago,180000.0,Gris,56900.0,Avec kilométrage,1.2,2018.0,Automatique,Volkswagen,Golf,Compacte,Essence,6.0
Tunis,6 hours ago,150000.0,Noir,25400.0,Avec kilométrage,1.1,2011.0,Manuelle,Ford,Fiesta,Berline,Essence,5.0
Sfax,6 hours ago,203000.0,Gris,17500.0,Avec kilométrage,1.0,2001.0,Manuelle,Volkswagen,Polo,Berline,Essence,4.0
Nabeul,6 hours ago,226000.0,Noir,32000.0,Avec kilométrage,1.3,2015.0,Manuelle,Kia,Rio,Autres,Essence,5.0
